Data info
File name: T:\Banc_essais\BARRES\1-COMPRESSION\AFF1011-compression-compl�ment\80\essai80-short.dxd
Start time: 02/01/2023 11:47:35.682
Number of channels: 2
Sample rate: 1E6
Store type: toujours rapide


Data1

Time (s),AI 1 (um/m),AI 2 (um/m)
58.312841,-13.6592655181885,-5.40485095977783
58.312842,-10.6929817199707,-16.2948608398438
58.312843,9.57662487030029,2.02015662193298
58.312844,5.12719869613647,8.95016384124756
58.312845,-14.1536464691162,-10.3548555374146
58.312846,-8.71545886993408,-8.37485408782959
58.312847,26.3855667114258,11.4251661300659
58.312848,-5.74917554855347,-3.42484879493713
58.312849,-0.310988306999207,-9.85985469818115
58.312850,-1.79413020610809,2.02015662193298
58.312851,30.340612411499,20.3351745605469
58.312852,-18.6030712127686,-4.41484975814819
58.312853,-22.5581169128418,-12.3348579406738
58.312854,-2.28851079940796,6.97016143798828
58.312855,-25.5244007110596,4.00015878677368
58.312856,-34.4232521057129,9.94016456604004
58.312857,-102.15340423584,-10.8498563766479
58.312858,-78.4231262207031,16.8701705932617
58.312859,-191.636291503906,1.03015565872192
58.312860,-279.636047363281,-14.3148593902588
58.312861,-389.882934570313,-1.93984735012054
58.312862,-513.972473144531,17.8601722717285
58.312863,-746.825744628906,-8.37485408782959
58.312864,-990.555419921875,-17.7798633575439
58.312865,-1194.240234375,13.4051675796509
58.312866,-1497.29553222656,-1.93984735012054
58.312867,-1771.67687988281,-2.43484783172607
58.312868,-2125.6533203125,-14.8098602294922
58.312869,-2320.93383789063,12.9101676940918
58.312870,-2713.47192382813,-3.91984915733337
58.312871,-3026.9091796875,-18.2748641967773
58.312872,-2991.80834960938,4.99015951156616
58.312873,-3008.6171875,3.01015758514404
58.312874,-2896.39282226563,2.02015662193298
58.312875,-2770.82006835938,-20.7498664855957
58.312876,-2557.74194335938,12.9101676940918
58.312877,-2334.28198242188,0.0401546470820904
58.312878,-2159.765625,2.51515698432922
58.312879,-2340.708984375,-12.8298578262329
58.312880,-2403.49536132813,14.3951692581177
58.312881,-2614.1015625,2.51515698432922
58.312882,-2911.71850585938,-19.2648639678955
58.312883,-2715.44946289063,20.8301753997803
58.312884,-2808.39306640625,5.9801607131958
58.312885,-2847.44921875,10.9301652908325
58.312886,-2895.40405273438,-10.3548555374146
58.312887,-2798.01098632813,20.3351745605469
58.312888,-2743.62915039063,5.9801607131958
58.312889,-2601.74194335938,-14.8098602294922
58.312890,-2405.47290039063,4.49515914916992
58.312891,-2264.07983398438,6.47516107559204
58.312892,-2293.24829101563,-4.90985012054443
58.312893,-2324.888671875,-16.2948608398438
58.312894,-2473.20288085938,10.4351644515991
58.312895,-2705.56176757813,9.94016456604004
58.312896,-2911.71850585938,-5.40485095977783
58.312897,-2908.2578125,-9.85985469818115
58.312898,-2829.6513671875,13.4051675796509
58.312899,-2736.21337890625,1.03015565872192
58.312900,-2588.3935546875,-15.3048601150513
58.312901,-2345.15844726563,2.02015662193298
58.312902,-2109.83325195313,4.49515914916992
58.312903,-2236.88891601563,-5.89985132217407
58.312904,-2671.94409179688,-20.7498664855957
58.312905,-2779.71899414063,9.44516372680664
58.312906,-2792.57275390625,7.46516180038452
58.312907,-2847.44921875,3.01015758514404
58.312908,-2917.65112304688,-2.92984819412231
58.312909,-2775.76391601563,14.3951692581177
58.312910,-2667.00024414063,0.0401546470820904
58.312911,-2388.66381835938,-11.8398571014404
58.312912,-2418.32666015625,7.46516180038452
58.312913,-2453.92211914063,11.4251661300659
58.312914,-2555.27026367188,-11.8398571014404
58.312915,-2684.7978515625,-14.3148593902588
58.312916,-2744.12353515625,7.46516180038452
58.312917,-2943.85327148438,10.4351644515991
58.312918,-2899.35913085938,-4.41484975814819
58.312919,-2687.26977539063,-3.42484879493713
58.312920,-2461.83227539063,14.8901691436768
58.312921,-2386.68627929688,-1.44484686851501
58.312922,-2400.52905273438,-15.3048601150513
58.312923,-2503.36010742188,2.02015662193298
58.312924,-2605.20263671875,7.96016263961792
58.312925,-2787.134765625,-3.91984915733337
58.312926,-2858.32543945313,-11.8398571014404
58.312927,-2778.23583984375,14.8901691436768
58.312928,-2730.28100585938,1.03015565872192
58.312929,-2531.53979492188,-4.90985012054443
58.312930,-2448.48388671875,1.52515614032745
58.312931,-2434.64135742188,23.3051776885986
58.312932,-2437.60766601563,-6.39485168457031
58.312933,-2579.9892578125,-17.2848625183105
58.312934,-2619.04516601563,16.375171661377
58.312935,-2732.25830078125,16.375171661377
58.312936,-2777.2470703125,7.46516180038452
58.312937,-2610.64086914063,-7.87985324859619
58.312938,-2449.96704101563,13.4051675796509
58.312939,-2418.32666015625,-5.89985132217407
58.312940,-2430.19189453125,-6.88985204696655
58.312941,-2515.7197265625,2.02015662193298
58.312942,-2511.7646484375,15.3851699829102
58.312943,-2535.00048828125,-1.44484686851501
58.312944,-2709.51684570313,-24.7098693847656
58.312945,-2655.62939453125,13.9001684188843
58.312946,-2609.15771484375,1.52515614032745
58.312947,-2459.85473632813,-0.94984632730484
58.312948,-2364.43920898438,-12.8298578262329
58.312949,-2435.63012695313,8.95016384124756
58.312950,-2643.76440429688,-13.8198585510254
58.312951,-2667.98901367188,-20.7498664855957
58.312952,-2680.8427734375,3.01015758514404
58.312953,-2645.74169921875,9.44516372680664
58.312954,-2613.11279296875,-1.93984735012054
58.312955,-2654.640625,-21.7398662567139
58.312956,-2448.48388671875,12.9101676940918
58.312957,-2367.40551757813,-1.93984735012054
58.312958,-2502.86572265625,0.535155117511749
58.312959,-2648.21362304688,5.9801607131958
58.312960,-2700.6181640625,11.920166015625
58.312961,-2761.4267578125,7.96016263961792
58.312962,-2629.42724609375,-13.3248586654663
58.312963,-2491.4951171875,18.8501739501953
58.312964,-2566.146484375,13.4051675796509
58.312965,-2496.43896484375,-1.44484686851501
58.312966,-2492.97827148438,-9.36485481262207
58.312967,-2530.056640625,24.2951793670654
58.312968,-2642.28125,3.01015758514404
58.312969,-2737.69653320313,-13.3248586654663
58.312970,-2709.51684570313,5.9801607131958
58.312971,-2507.31518554688,9.44516372680664
58.312972,-2473.20288085938,4.00015878677368
58.312973,-2564.1689453125,-21.7398662567139
58.312974,-2577.51733398438,12.9101676940918
58.312975,-2745.60668945313,3.01015758514404
58.312976,-2791.583984375,-1.93984735012054
58.312977,-2719.40454101563,-7.38485288619995
58.312978,-2778.73022460938,4.00015878677368
58.312979,-2680.8427734375,1.03015565872192
58.312980,-2521.15795898438,-18.2748641967773
58.312981,-2471.7197265625,-2.92984819412231
58.312982,-2590.86547851563,17.8601722717285
58.312983,-2491.4951171875,-7.38485288619995
58.312984,-2496.93334960938,-27.184871673584
58.312985,-2555.7646484375,10.4351644515991
58.312986,-2608.66333007813,1.52515614032745
58.312987,-2596.79809570313,-8.86985397338867
58.312988,-2750.55053710938,-0.45484584569931
58.312989,-2574.056640625,5.4851598739624
58.312990,-2400.03466796875,-1.93984735012054
58.312991,-2657.60693359375,-18.2748641967773
58.312992,-2866.23559570313,13.4051675796509
58.312993,-2799.98852539063,17.3651714324951
58.312994,-2529.56225585938,-1.93984735012054
58.312995,-2546.37133789063,-13.8198585510254
58.312996,-2683.31469726563,10.4351644515991
58.312997,-2475.6748046875,5.9801607131958
58.312998,-2397.56274414063,0.0401546470820904
58.312999,-2661.56201171875,-3.42484879493713
58.313000,-2713.96630859375,20.8301753997803
58.313001,-2644.7529296875,-2.43484783172607
58.313002,-2490.50634765625,-16.7898616790771
58.313003,-2505.83203125,6.97016143798828
58.313004,-2497.921875,8.95016384124756
58.313005,-2457.87719726563,-0.45484584569931
58.313006,-2520.66357421875,-13.8198585510254
58.313007,-2623.49462890625,9.44516372680664
58.313008,-2476.16918945313,-3.91984915733337
58.313009,-2607.67456054688,-17.7798633575439
58.313010,-2526.59619140625,-0.94984632730484
58.313011,-2535.49487304688,14.3951692581177
58.313012,-2484.57373046875,-5.89985132217407
58.313013,-2267.04614257813,-15.3048601150513
58.313014,-2527.58471679688,8.45516300201416
58.313015,-2445.02319335938,7.46516180038452
58.313016,-2462.82104492188,4.99015951156616
58.313017,-2360.978515625,-9.36485481262207
58.313018,-2002.05822753906,19.8401737213135
58.313019,-2069.2939453125,1.52515614032745
58.313020,-2044.57495117188,-14.3148593902588
58.313021,-1761.78918457031,1.03015565872192
58.313022,-1533.87976074219,12.4151668548584
58.313023,-1490.86865234375,-7.87985324859619
58.313024,-1430.55419921875,-13.3248586654663
58.313025,-1313.88037109375,7.46516180038452
58.313026,-995.499206542969,0.535155117511749
58.313027,-563.410522460938,-6.39485168457031
58.313028,-430.422149658203,-12.8298578262329
58.313029,-350.826873779297,12.9101676940918
58.313030,-174.827362060547,-1.44484686851501
58.313031,39.7338447570801,-16.2948608398438
58.313032,109.935897827148,6.97016143798828
58.313033,53.0821228027344,3.50515794754028
58.313034,256.766937255859,0.0401546470820904
58.313035,394.699157714844,-14.8098602294922
58.313036,242.429901123047,14.3951692581177
58.313037,176.677276611328,2.02015662193298
58.313038,91.1494293212891,-11.344856262207
58.313039,26.8799476623535,-2.92984819412231
58.313040,-168.400405883789,19.3451728820801
58.313041,-265.793395996094,4.99015951156616
58.313042,-120.939865112305,-14.8098602294922
58.313043,79.284294128418,18.8501739501953
58.313044,214.744598388672,8.95016384124756
58.313045,200.901931762695,2.51515698432922
58.313046,207.823257446289,-3.42484879493713
58.313047,192.991836547852,19.3451728820801
58.313048,274.564636230469,2.02015662193298
58.313049,218.205261230469,-17.7798633575439
58.313050,87.1943817138672,-1.93984735012054
58.313051,25.3968048095703,7.96016263961792
58.313052,-14.6480274200439,-0.94984632730484
58.313053,-81.8837966918945,-18.2748641967773
58.313054,-73.4793243408203,9.44516372680664
58.313055,-174.332977294922,3.50515794754028
58.313056,-29.9738273620605,-1.93984735012054
58.313057,49.6214561462402,-18.2748641967773
58.313058,78.2955322265625,9.44516372680664
58.313059,-25.5244007110596,-5.89985132217407
58.313060,-46.7827682495117,-16.2948608398438
58.313061,40.2282257080078,0.0401546470820904
58.313062,80.2730560302734,5.9801607131958
58.313063,-24.5356407165527,-6.88985204696655
58.313064,-20.5805950164795,-21.2448654174805
58.313065,92.1381912231445,12.9101676940918
58.313066,126.250457763672,1.52515614032745
58.313067,158.385192871094,-8.37485408782959
58.313068,144.542541503906,-4.41484975814819
58.313069,199.913177490234,15.3851699829102
58.313070,131.194259643555,2.51515698432922
58.313071,126.250457763672,-11.8398571014404
58.313072,24.9024238586426,14.3951692581177
58.313073,-185.703735351563,19.3451728820801
58.313074,-17.119930267334,-0.45484584569931
58.313075,16.0035724639893,-8.37485408782959
58.313076,132.677398681641,18.3551731109619
58.313077,10.5653858184814,5.4851598739624
58.313078,32.3181343078613,-8.37485408782959
58.313079,85.2168655395508,3.50515794754028
58.313080,216.722106933594,8.45516300201416
58.313081,52.5877418518066,-5.40485095977783
58.313082,-191.14192199707,-16.2948608398438
58.313083,-215.860946655273,13.4051675796509
58.313084,84.2281036376953,8.45516300201416
58.313085,236.497344970703,-6.88985204696655
58.313086,149.486343383789,-15.3048601150513
58.313087,33.8012771606445,13.9001684188843
58.313088,-33.4344902038574,-6.39485168457031
58.313089,52.5877418518066,-22.2348670959473
58.313090,49.1270751953125,-2.92984819412231
58.313091,-15.1424074172974,13.4051675796509
58.313092,-167.411651611328,-3.42484879493713
58.313093,-119.951103210449,-18.2748641967773
58.313094,100.542663574219,4.49515914916992
58.313095,221.171539306641,7.96016263961792
58.313096,88.6775283813477,-1.93984735012054
58.313097,42.2057456970215,-6.88985204696655
58.313098,-50.7378120422363,12.4151668548584
58.313099,-57.1647605895996,1.52515614032745
58.313100,134.654922485352,-6.39485168457031
58.313101,29.8462314605713,5.9801607131958
58.313102,-150.60270690918,12.4151668548584
58.313103,-136.265670776367,-6.39485168457031
58.313104,99.0595245361328,-15.3048601150513
58.313105,191.508697509766,12.9101676940918
58.313106,-56.6703834533691,-5.40485095977783
58.313107,33.3068962097168,3.50515794754028
58.313108,23.9136638641357,-6.39485168457031
